Sample,Replicate,Recombination_rate,Theta
IC,IC1,"0,00999","0,0001"
IC,IC2,"0,00999","0,0001"
IC,IC3,"0,00999","0,0001"
IC,IC4,"0,00999","0,0001"
IC,IC5,"0,00999","0,0001"
IC,IC6,"0,00999","0,0001"
IC,IC7,"0,00999","0,0001"
IC,IC8,"0,00999","0,0001"
IC,IC9,"0,00999","0,0001"
IC,IC10,"0,00999","0,0001"
GC,GC1,"0,00999","0,0001"
GC,GC2,"0,00999","0,0001"
GC,GC3,"0,00999","0,0001"
GC,GC4,"0,00999","0,0001"
GC,GC5,"0,00999","0,0001"
GC,GC6,"0,00999","0,0001"
GC,GC7,"0,00999","0,0001"
GC,GC8,"0,00999","0,0001"
GC,GC9,"0,00999","0,0001"
GC,GC10,"0,00999","0,0001"
NC,NC1,"0,00679","0,0001"
NC,NC2,"0,00682","0,0001"
NC,NC3,"0,0068","0,0001"
NC,NC4,"0,00709","0,0001"
NC,NC5,"0,00704","0,0001"
NC,NC6,"0,00707","0,0001"
NC,NC7,"0,00703","0,0001"
NC,NC8,"0,00738","0,0001"
NC,NC9,"0,0068","0,0001"
NC,NC10,"0,00672","0,0001"
DC,DC1,"0,00614","0,0001"
DC,DC2,"0,00646","0,0001"
DC,DC3,"0,00608","0,0001"
DC,DC4,"0,00648","0,0001"
DC,DC5,"0,00635","0,0001"
DC,DC6,"0,00621","0,0001"
DC,DC7,"0,0062","0,0001"
DC,DC8,"0,0062","0,0001"
DC,DC9,"0,00615","0,0001"
DC,DC10,"0,00646","0,0001"
EC,EC1,"0,00592","0,0001"
EC,EC2,"0,00573","0,0001"
EC,EC3,"0,00569","0,0001"
EC,EC4,"0,00575","0,0001"
EC,EC5,"0,00574","0,0001"
EC,EC6,"0,00567","0,0001"
EC,EC7,"0,00566","0,0001"
EC,EC8,"0,00569","0,0001"
EC,EC9,"0,00578","0,0001"
EC,EC10,"0,0059","0,0001"
